24748.3333, 50840.0
24758.8889, 51211.9444
24827.2222, 51394.7222
24904.4444, 51175.0
24996.1111, 51548.8889
25010.0, 51039.4444
25030.8333, 51275.2778
25067.7778, 51077.5
25100.0, 51516.6667
25103.3333, 51521.6667
25121.9444, 51218.3333
25150.8333, 51537.7778
25158.3333, 51163.6111
25162.2222, 51220.8333
25167.7778, 51606.9444
25168.8889, 51086.3889
25173.8889, 51269.4444
25210.8333, 51394.1667
25211.3889, 51619.1667
25214.1667, 50807.2222
25214.4444, 51378.8889
25223.3333, 51451.6667
25224.1667, 51174.4444
25233.3333, 51333.3333
25234.1667, 51203.0556
25235.5556, 51330.0
25235.5556, 51495.5556
25242.7778, 51428.8889
25243.0556, 51452.5
25252.5, 51559.1667
25253.8889, 51535.2778
25253.8889, 51549.7222
25256.9444, 51398.8889
25263.6111, 51516.3889
25265.8333, 51545.2778
25266.6667, 50969.1667
25266.6667, 51483.3333
25270.5556, 51532.7778
25270.8333, 51505.8333
25270.8333, 51523.0556
25275.8333, 51533.6111
25277.2222, 51547.7778
25278.3333, 51525.5556
25278.3333, 51541.3889
25279.1667, 51445.5556
25281.1111, 51535.0
25281.3889, 51512.5
25283.3333, 51533.3333
25283.6111, 51546.6667
25284.7222, 51555.2778
25286.1111, 51504.1667
25286.1111, 51534.1667
25286.6667, 51533.3333
25287.5, 51537.7778
25288.0556, 51546.6667
25290.8333, 51528.3333
25291.9444, 51424.4444
25292.5, 51520.8333
25298.6111, 51001.6667
25300.8333, 51394.4444
